"Date","Close","1DayPercentMove","2DayPercentMove","3DayPercentMove","4DayPercentMove","5DayPercentMove","6DayPercentMove","7DayPercentMove","8DayPercentMove","9DayPercentMove","10DayPercentMove","11DayPercentMove","12DayPercentMove","13DayPercentMove","14DayPercentMove","15DayPercentMove","16DayPercentMove","17DayPercentMove","18DayPercentMove","19DayPercentMove","20DayPercentMove","50DayPercentMove","100DayPercentMove","200DayPercentMove","10DayAutoCor","20DayAutoCor","50DayAutoCor","100DayAutoCor","1DayATR","2DayATR","5DayATR","10DayATR","20DayATR","50DayATR","100DayATR","1DayMAD","2DayMAD","3DayMAD","5DayMAD","10DayMAD","20DayMAD","50DayMAD","100DayMAD","200DayMAD","20DayMA","50DayMA","100DayMA","20DayDMA","50DayDMA","100DayDMA"
2014-06-03,1922,0.01301,0.02602,0.2086,0.681,0.6678,1.318,1.68,1.963,2.891,2.112,2.52,2.932,1.949,1.465,1.545,2.589,2.657,2.548,3.098,2.466,3.5,4.884,16.08,0.9234,0.1795,0.9655,0.9847,9,12.75,32.5,51.75,76.25,138.25,207,0.464,0.792,0.956,1.136,0.974,2.196,7.806,13.8,19.25,1891.125,1871.65,1849.91,1.6326,2.6901,3.8969
2014-06-02,1921.75,0.01301,0.1955,0.6679,0.6547,1.305,1.666,1.95,2.877,2.099,2.507,2.919,1.936,1.452,1.532,2.575,2.644,2.534,3.084,2.452,2.521,2.562,4.971,14.25,-0.0782,0.1965,0.9876,0.989,9.25,12,30.875,51.75,79.5,138.25,207,0.63,0.938,0.782,0.958,0.97,2.674,7.654,14.164,19.36,1888.8125,1870.35,1849.015,1.7438,2.7481,3.9337
2014-05-30,1921.5,0.1825,0.6548,0.6416,1.291,1.653,1.936,2.864,2.085,2.494,2.905,1.923,1.439,1.519,2.562,2.63,2.521,3.071,2.439,2.507,2.33,3.32,5.533,13.65,-0.4332,0.3045,0.9871,0.9919,9.375,16,32.75,52.5,78.5,137.25,206,0.7,0.676,0.78,0.666,1.104,2.7,7.512,13.908,19.4,1886.45,1869.39,1848.105,1.858,2.7875,3.9714
2014-05-29,1918,0.4714,0.4583,1.107,1.468,1.751,2.677,1.899,2.307,2.718,1.737,1.254,1.334,2.375,2.444,2.334,2.883,2.252,2.321,2.144,2.13,2.526,5.067,13.69,0.1833,0.2251,0.9934,0.9923,10.125,17,32.375,51.5,76.375,135.125,203.875,0.698,0.758,0.832,0.838,1.326,2.812,7.69,13.972,20.186,1884.2625,1868.155,1847.0975,1.7905,2.6681,3.8386
2014-05-28,1909,-0.01309,0.6326,0.9919,1.273,2.195,1.421,1.827,2.236,1.26,0.7787,0.8585,1.895,1.963,1.854,2.4,1.773,1.84,1.664,1.651,1.99,2.759,4.517,13.21,0.4067,0.53,0.9671,0.9871,11.25,16.75,42.875,49.5,74.375,133.125,201.875,0.66,0.542,0.556,0.958,1.476,2.078,7.314,13.476,20.542,1882.2625,1867.21,1846.1725,1.4205,2.2381,3.4031
2014-05-27,1909.25,0.6458,1.005,1.286,2.208,1.434,1.84,2.249,1.273,0.7919,0.8718,1.908,1.976,1.867,2.414,1.786,1.854,1.678,1.664,2.004,2.318,3.764,3.707,12.72,0.5259,0.1961,0.9017,0.9854,11.375,24,42.375,45.25,72.375,131.125,199.875,0.626,0.564,0.524,1.032,1.616,1.826,7.264,13.856,20.204,1880.4,1866.185,1845.3475,1.5342,2.3076,3.4629
2014-05-23,1897,0.3571,0.6366,1.552,0.7836,1.187,1.593,0.6233,0.1452,0.2245,1.254,1.322,1.214,1.757,1.133,1.2,1.025,1.012,1.349,1.661,1.989,2.721,3.393,12.36,0.7019,0.1125,0.9164,0.9831,10.5,19.125,37,41.125,72.25,125.75,191.25,0.438,0.482,0.548,0.672,1.086,1.712,6.976,13.748,19.758,1878.2375,1864.8,1844.665,0.9989,1.7267,2.8371
2014-05-22,1890.25,0.2785,1.191,0.425,0.8268,1.232,0.2652,-0.2112,-0.1321,0.894,0.9614,0.8537,1.395,0.773,0.8402,0.6657,0.6523,0.9884,1.3,1.626,0.921,1.205,2.927,11.58,0.2306,0.4112,0.8922,0.9871,15.625,23.625,36.125,40.75,71.875,125.375,190.875,0.392,0.486,0.372,0.394,0.812,1.632,7.06,14.462,19.556,1876.3875,1863.795,1844.0425,0.7388,1.4194,2.5058
2014-05-21,1885,0.9101,0.1461,0.5467,0.9506,-0.01326,-0.4883,-0.4095,0.6138,0.681,0.5736,1.113,0.4931,0.5601,0.3861,0.3727,0.7079,1.018,1.344,0.6407,0.6407,1.059,2.641,10.72,0.3139,0.3325,0.8025,0.9895,19.875,21.75,32.75,40.75,71.875,125.375,189.75,0.448,0.368,0.372,0.674,0.842,1.636,6.922,14.702,19.468,1875.525,1863.345,1843.505,0.5052,1.1622,2.2509
2014-05-20,1868,-0.7571,-0.36,0.04017,-0.915,-1.386,-1.308,-0.2936,-0.227,-0.3335,0.2012,-0.4132,-0.3468,-0.5192,-0.5325,-0.2004,0.1072,0.4301,-0.267,-0.267,-0.3202,-0.4927,2.132,9.624,-0.1647,0.3388,0.8301,0.9872,18.5,24.625,41.125,43,71.875,125.375,185.625,0.364,0.414,0.472,0.924,0.57,1.59,7.018,14.406,18.642,1874.925,1862.95,1843.02,-0.3693,0.2711,1.3554
